"value","count","total_bps_count","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","model_label","ref_percent","cur_percent","class_percent_difference","class_representation","symbol","scientific_name","common_name","canopy_position"
1,1848273,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"UE","13730_65_66_UE",0,4,4,"over","UE","UE","UE","UE"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","POTR5","Populus tremuloides","Quaking aspen","Upper"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","BEPA","Betula papyrifera","Paper birch","Upper"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","POGR4","Populus grandidentata","Bigtooth aspen","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","POPUL","Populus","Cottonwood","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","BEPA","Betula papyrifera","Paper birch","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","ABBA","Abies balsamea","Balsam fir","Low-Mid"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","PIRU","Picea rubens","Red spruce","Low-Mid"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","POPUL","Populus","Cottonwood","Upper"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","BEPA","Betula papyrifera","Paper birch","Upper"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","ABBA","Abies balsamea","Balsam fir","Low-Mid"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","PIRU","Picea rubens","Red spruce","Low-Mid"
6,746224,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"D","14940_63_65_66_D",13,23,10,"over","ACRU","Acer rubrum","Red maple","Upper"
6,746224,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"D","14940_63_65_66_D",13,23,10,"over","ALIN2","Alnus incana","Gray alder","Middle"
6,746224,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"D","14940_63_65_66_D",13,23,10,"over","CAREX","Carex","Sedge","Lower"
6,746224,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"D","14940_63_65_66_D",13,23,10,"over","OSRE","Osmunda regalis","Royal fern","Lower"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","THOC2","Thuja occidentalis","Northern white-cedar","Upper"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","PIMA","Picea mariana","Black spruce","Upper"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","LALA","Larix laricina","Tamarack","Upper"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","ACRU","Acer rubrum","Red maple","Mid-Upper"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","ABBA","Abies balsamea","Balsam fir","Upper"
7,2587070,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"C","15260_64_65_66_C",21,28,7,"over","PIRU","Picea rubens","Red spruce","Upper"
8,2111079,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"UN","15260_64_65_66_UN",0,23,23,"over","UN","UN","UN","UN"
9,505713,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"D","14770_63_64_65_66_D",25,30,5,"over","PIMA","Picea mariana","Black spruce","Upper"
9,505713,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"D","14770_63_64_65_66_D",25,30,5,"over","LEGR","Ledum groenlandicum","Bog labrador tea","Low-Mid"
9,505713,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"D","14770_63_64_65_66_D",25,30,5,"over","CATR10","Carex trisperma","Threeseeded sedge","Lower"
9,505713,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"D","14770_63_64_65_66_D",25,30,5,"over","SPHAG2","Sphagnum","Sphagnum","Lower"
10,949410,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"UN","14940_63_65_66_UN",0,29,29,"over","UN","UN","UN","UN"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","THOC2","Thuja occidentalis","Arborvitae","Upper"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","PIMA","Picea mariana","Black spruce","Upper"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","LALA","Larix laricina","Tamarack","Upper"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","ACRU","Acer rubrum","Red maple","Mid-Upper"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","ILMU","Ilex mucronata","Mountain holly","Mid"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","ALINR","Alnus incana ssp. rugosa","Speckled alder","Mid"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","ABBA","Abies balsamea","Balsam fir","Upper"
11,830588,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"B","15260_64_65_66_B",11,9,-2,"under","PIRU","Picea rubens","Red spruce","Upper"
12,18974,69872,"13440_66","Boreal Jack Pine-Black Spruce Forest","Conifer",214,-9999,-9999,214,"D","13440_66_D",18,27,9,"over","ABBA","Abies balsamea","Balsam fir","All"
12,18974,69872,"13440_66","Boreal Jack Pine-Black Spruce Forest","Conifer",214,-9999,-9999,214,"D","13440_66_D",18,27,9,"over","PIMA","Picea mariana","Black spruce","All"
12,18974,69872,"13440_66","Boreal Jack Pine-Black Spruce Forest","Conifer",214,-9999,-9999,214,"D","13440_66_D",18,27,9,"over","BEPA","Betula papyrifera","Paper birch","Upper"
13,642747,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"UN","13730_65_66_UN",0,1,1,"over","UN","UN","UN","UN"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","POTR5","Populus tremuloides","Quaking aspen","Upper"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","ACSA3","Acer saccharum","Sugar maple","Mid-Upper"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","FAGR","Fagus grandifolia","American beech","Upper"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","BEPA","Betula papyrifera","Paper birch","Upper"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","ACRU","Acer rubrum","Red maple","E"
14,17069460,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"E","13020_65_66_E",7,37,30,"over","BEAL2","Betula alleghaniensis","Yellow birch","E"
15,4610306,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"C","13020_65_66_C",18,10,-8,"under","ACSA3","Acer saccharum","Sugar maple","Upper"
15,4610306,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"C","13020_65_66_C",18,10,-8,"under","FAGR","Fagus grandifolia","American beech","Upper"
15,4610306,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"C","13020_65_66_C",18,10,-8,"under","BEAL2","Betula alleghaniensis","Yellow birch","Upper"
15,4610306,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"C","13020_65_66_C",18,10,-8,"under","BELE","Betula lenta","Black birch","Upper"
16,6806493,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"UN","13020_65_66_UN",0,15,15,"over","UN","UN","UN","UN"
17,7217050,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"D","13660_51_63_64_65_66_D",42,22,-20,"under","PIST","Pinus strobus","Eastern white pine","Upper"
17,7217050,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"D","13660_51_63_64_65_66_D",42,22,-20,"under","TSCA","Tsuga canadensis","Eastern hemlock","Upper"
17,7217050,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"D","13660_51_63_64_65_66_D",42,22,-20,"under","BEAL2","Betula alleghaniensis","Yellow birch","Mid-Upper"
18,1953158,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"B","13020_65_66_B",5,4,-1,"under","ACSA3","Acer saccharum","Sugar maple","Upper"
18,1953158,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"B","13020_65_66_B",5,4,-1,"under","BEPA","Betula papyrifera","Paper birch","Upper"
18,1953158,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"B","13020_65_66_B",5,4,-1,"under","BEAL2","Betula alleghaniensis","Yellow birch","Upper"
18,1953158,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"B","13020_65_66_B",5,4,-1,"under","FAGR","Fagus grandifolia","American beech","Upper"
19,2122920,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"Developed","13730_65_66_Developed",0,5,5,"over","Developed","Developed","Developed","Developed"
20,114321,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"C","13660_51_63_64_65_66_C",39,0,-39,"under","PIST","Pinus strobus","Eastern white pine","Upper"
20,114321,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"C","13660_51_63_64_65_66_C",39,0,-39,"under","PIRE","Pinus resinosa","Red pine","Upper"
20,114321,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"C","13660_51_63_64_65_66_C",39,0,-39,"under","TSCA","Tsuga canadensis","Eastern hemlock","Upper"
20,114321,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"C","13660_51_63_64_65_66_C",39,0,-39,"under","BEAL2","Betula alleghaniensis","Yellow birch","Upper"
21,780831,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"Developed","13660_51_63_64_65_66_Developed",0,2,2,"over","Developed","Developed","Developed","Developed"
22,272728,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"B","13660_51_63_64_65_66_B",16,1,-15,"under","QURU","Quercus rubra","Northern red oak","Upper"
22,272728,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"B","13660_51_63_64_65_66_B",16,1,-15,"under","BEPA","Betula papyrifera","Paper birch","Upper"
22,272728,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"B","13660_51_63_64_65_66_B",16,1,-15,"under","POTR5","Populus tremuloides","Quaking aspen","Upper"
22,272728,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"B","13660_51_63_64_65_66_B",16,1,-15,"under","ACRU","Acer rubrum","Red maple","Upper"
22,272728,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"B","13660_51_63_64_65_66_B",16,1,-15,"under","POGR4","Populus  Grandidentata","Bigtooth aspen","Upper"
23,378465,33089915,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,"UE","13660_51_63_64_65_66_UE",0,1,1,"over","UE","UE","UE","UE"
24,1249052,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"Developed","13020_65_66_Developed",0,3,3,"over","Developed","Developed","Developed","Developed"
25,40295,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"Developed","13770_60_61_63_64_65_66_Developed",0,1,1,"over","Developed","Developed","Developed","Developed"
26,349841,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"C","13770_60_61_63_64_65_66_C",74,9,-65,"under","PINUS","Pinus","Pine","Upper"
26,349841,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"C","13770_60_61_63_64_65_66_C",74,9,-65,"under","QUERC","Quercus","Oak","Mid-Upper"
26,349841,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"C","13770_60_61_63_64_65_66_C",74,9,-65,"under","NYSY","Nyssa sylvatica","Blackgum","Low-Mid"
26,349841,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"C","13770_60_61_63_64_65_66_C",74,9,-65,"under","BELE","Betula lenta","Sweet birch","Low-Mid"
27,897712,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"UE","13020_65_66_UE",0,2,2,"over","UE","UE","UE","UE"
28,174714,3959918,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,"UN","13770_60_61_63_64_65_66_UN",0,4,4,"over","UN","UN","UN","UN"
29,130125,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"A","13020_65_66_A",4,0,-4,"under","POTR5","Populus tremuloides","Quaking aspen","Upper"
29,130125,45527252,"13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,-9999,-9999,983,"A","13020_65_66_A",4,0,-4,"under","BEPA","Betula papyrifera","Paper birch","Upper"
30,16756,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"C","14940_63_65_66_C",11,1,-10,"under","SPAL2","Spiraea alba","White meadowsweet","Middle"
30,16756,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"C","14940_63_65_66_C",11,1,-10,"under","MYGA","Myrica gale","Sweetgale","Middle"
30,16756,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"C","14940_63_65_66_C",11,1,-10,"under","ALIN2","Alnus incana","Gray alder","Lower"
30,16756,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"C","14940_63_65_66_C",11,1,-10,"under","CORNU","Cornus","Dogwood","Lower"
31,170015,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"B","14940_63_65_66_B",29,5,-24,"under","CAST8","Carex stricta","Upright sedge","Lower"
31,170015,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"B","14940_63_65_66_B",29,5,-24,"under","CALA16","Carex lacustris","Hairy sedge","Lower"
31,170015,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"B","14940_63_65_66_B",29,5,-24,"under","CAUT","Carex utriculata","Northwest territory sedge","Lower"
31,170015,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"B","14940_63_65_66_B",29,5,-24,"under","CACA4","Calamagrostis canadensis","Bluejoint","Lower"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","LALA","Larix laricina","Tamarack","Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","ALIN2","Alnus incana","Speckled alder","Mid-Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","ILVE","Ilex verticillata","Common winterberry","Mid-Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","VACO","Vaccinium corymbosum","Highbush blueberry","Middle"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","PIMA","Picea mariana","Black spruce","Mid/Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","THOC2","Thuja occidentalis","Northern white-cedar","Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","ABBA","Abies balsamea","Balsam fir","Upper"
32,190354,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"A","15260_64_65_66_A",14,2,-12,"under","PIRU","Picea rubens","Red spruce","Upper"
33,272164,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"UN","14750_41_50_51_63_64_65_66_UN",0,4,4,"over","UN","UN","UN","UN"
34,107253,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"Developed","14940_63_65_66_Developed",0,3,3,"over","Developed","Developed","Developed","Developed"
35,89079,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"B","14750_41_50_51_63_64_65_66_B",23,1,-22,"under","ACSA2","Acer saccharinum","Silver maple","Upper"
35,89079,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"B","14750_41_50_51_63_64_65_66_B",23,1,-22,"under","FRPE","Fraxinus pennsylvanica","Green ash","Upper"
35,89079,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"B","14750_41_50_51_63_64_65_66_B",23,1,-22,"under","FRNI","Fraxinus nigra","Black ash","Upper"
35,89079,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"B","14750_41_50_51_63_64_65_66_B",23,1,-22,"under","SALIX","Salix","Willow","Mid-Upper"
36,330073,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"C","14750_41_50_51_63_64_65_66_C",44,4,-40,"under","ACSA2","Acer saccharinum","Silver maple","Upper"
36,330073,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"C","14750_41_50_51_63_64_65_66_C",44,4,-40,"under","ACRU","Acer rubrum","Red maple","Upper"
36,330073,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"C","14750_41_50_51_63_64_65_66_C",44,4,-40,"under","FRPE","Fraxinus pennsylvanica","Green ash","Upper"
37,51435,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"UE","14750_41_50_51_63_64_65_66_UE",0,1,1,"over","UE","UE","UE","UE"
38,72004,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"UE","14940_63_65_66_UE",0,2,2,"over","UE","UE","UE","UE"
39,241911,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"UN","14770_63_64_65_66_UN",0,14,14,"over","UN","UN","UN","UN"
40,250196,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"Developed","15260_64_65_66_Developed",0,3,3,"over","Developed","Developed","Developed","Developed"
41,177647,9300655,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,"UE","15260_64_65_66_UE",0,2,2,"over","UE","UE","UE","UE"
42,264784,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"C","14770_63_64_65_66_C",39,16,-23,"under","LARIX","Larix","Larch","Mid-Upper"
42,264784,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"C","14770_63_64_65_66_C",39,16,-23,"under","PIMA","Picea mariana","Black spruce","Mid-Upper"
42,264784,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"C","14770_63_64_65_66_C",39,16,-23,"under","CHAMA5","Chamaedaphne","Leatherleaf","Low-Mid"
42,264784,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"C","14770_63_64_65_66_C",39,16,-23,"under","SPHAG2","Sphagnum","Sphagnum","Lower"
43,33590,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"UE","14770_63_64_65_66_UE",0,2,2,"over","UE","UE","UE","UE"
44,37965,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"B","14770_63_64_65_66_B",16,2,-14,"under","SPHAG2","Sphagnum","Sphagnum","Lower"
44,37965,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"B","14770_63_64_65_66_B",16,2,-14,"under","CALA11","Carex lasiocarpa","Woollyfruit sedge","Lower"
44,37965,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"B","14770_63_64_65_66_B",16,2,-14,"under","CAOL3","Carex oligosperma","Fewseed sedge","Upper"
44,37965,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"B","14770_63_64_65_66_B",16,2,-14,"under","BEPU4","Betula pumila","Bog birch","Low-Mid"
45,208008,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"A","14770_63_64_65_66_A",13,12,-1,"under","SPIRA","Spiraea","Spirea","Low-Mid"
45,208008,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"A","14770_63_64_65_66_A",13,12,-1,"under","ALNUS","Alnus","Alder","Middle"
45,208008,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"A","14770_63_64_65_66_A",13,12,-1,"under","CALAM","Calamagrostis","Reedgrass","Lower"
45,208008,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"A","14770_63_64_65_66_A",13,12,-1,"under","CALA16","Carex lacustris","Hairy sedge","Lower"
46,25717,1687236,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,"Developed","14770_63_64_65_66_Developed",0,2,2,"over","Developed","Developed","Developed","Developed"
47,65349,7613696,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,"Developed","14750_41_50_51_63_64_65_66_Developed",0,1,1,"over","Developed","Developed","Developed","Developed"
