"value","count","total_bps_count","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","model_label","ref_percent","cur_percent","class_percent_difference","class_representation","symbol","scientific_name","common_name","canopy_position"
1499,254805,3786562,"13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"E","13050_53_E",3,7,4,"over","ACSA3","Acer saccharum","Sugar maple","Upper"
1499,254805,3786562,"13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"E","13050_53_E",3,7,4,"over","LIRIO","Liriodendron","Tuliptree","Upper"
1499,254805,3786562,"13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"E","13050_53_E",3,7,4,"over","FAGR","Fagus grandifolia","American beech","Upper"
1500,220,174618,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,"Barren or Sparse","0_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1501,2890,8902334,"13700_53_61_62","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1036,1083,-9999,529,"UN","13700_53_61_62_UN",0,0,0,"equal","UN","UN","UN","UN"
1502,127764,2602785,"13180_48_53","Southern and Central Appalachian Cove Forest","Hardwood",555,727,88,69,"Agriculture","13180_48_53_Agriculture",0,5,5,"over","Agriculture","Agriculture","Agriculture","Agriculture"
1503,166796,2602785,"13180_48_53","Southern and Central Appalachian Cove Forest","Hardwood",555,727,88,69,"Developed","13180_48_53_Developed",0,6,6,"over","Developed","Developed","Developed","Developed"
1504,10346,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"A","13150_48_53_57_59_61_A",5,0,-5,"under","QUPR2","Quercus prinus","Chestnut oak","Upper"
1504,10346,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"A","13150_48_53_57_59_61_A",5,0,-5,"under","QUAL","Quercus alba","White oak","Upper"
1504,10346,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"A","13150_48_53_57_59_61_A",5,0,-5,"under","QUVE","Quercus velutina","Black oak","Upper"
1504,10346,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"A","13150_48_53_57_59_61_A",5,0,-5,"under","CADE12","Castanea dentata","American chestnut","Mid-Upper"
1505,790,6700662,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,"Barren or Sparse","14790_41_42_47_48_50_51_53_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1506,894,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"B","13150_48_53_57_59_61_B",25,0,-25,"under","QUPR2","Quercus prinus","Chestnut oak","Upper"
1506,894,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"B","13150_48_53_57_59_61_B",25,0,-25,"under","QURU","Quercus rubra","Northern red oak","Middle"
1506,894,25813252,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,"B","13150_48_53_57_59_61_B",25,0,-25,"under","CADE12","Castanea dentata","American chestnut","Upper"
1507,28414,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"Agriculture","14010_43_44_47_48_53_Agriculture",0,1,1,"over","Agriculture","Agriculture","Agriculture","Agriculture"
1508,51446,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"UN","14010_43_44_47_48_53_UN",0,1,1,"over","UN","UN","UN","UN"
1509,17994,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"Developed","14010_43_44_47_48_53_Developed",0,0,0,"equal","Developed","Developed","Developed","Developed"
1510,12685,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"UE","14010_43_44_47_48_53_UE",0,0,0,"equal","UE","UE","UE","UE"
1511,10,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"D","14010_43_44_47_48_53_D",10,0,-10,"under","SCSC","Schizachyrium scoparium","Little bluestem","Lower"
1511,10,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"D","14010_43_44_47_48_53_D",10,0,-10,"under","ANGE","Andropogon gerardii","Big bluestem","Lower"
1511,10,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"D","14010_43_44_47_48_53_D",10,0,-10,"under","SITE","Silphium terebinthinaceum","Silphium terebinthinaceum","Lower"
1511,10,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"D","14010_43_44_47_48_53_D",10,0,-10,"under","QUMU","Quercus muehlenbergii","Chinkapin oak","All"
1512,5,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"C","14010_43_44_47_48_53_C",23,0,-23,"under","SCSC","Schizachyrium scoparium","Little bluestem","Lower"
1512,5,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"C","14010_43_44_47_48_53_C",23,0,-23,"under","ANGE","Andropogon gerardii","Big bluestem","Lower"
1512,5,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"C","14010_43_44_47_48_53_C",23,0,-23,"under","SITE","Silphium terebinthinaceum","Silphium terebinthinaceum","Lower"
1512,5,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"C","14010_43_44_47_48_53_C",23,0,-23,"under","QUMU","Quercus muehlenbergii","Chinkapin oak","All"
1513,33,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"E","14010_43_44_47_48_53_E",2,0,-2,"under","JUVI","Juniperus virginiana","Eastern redcedar","All"
1513,33,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"E","14010_43_44_47_48_53_E",2,0,-2,"under","JUAS","Juniperus ashei","Ashe's juniper","Middle"
1513,33,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"E","14010_43_44_47_48_53_E",2,0,-2,"under","QUMU","Quercus muehlenbergii","Chinkapin oak","All"
1514,1235,2466267,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,-9999,780,"Barren or Sparse","13500_61_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1515,65695,2466267,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,-9999,780,"D","13500_61_D",58,3,-55,"under","BEAL2","Betula alleghaniensis","Yellow birch","Upper"
1515,65695,2466267,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,-9999,780,"D","13500_61_D",58,3,-55,"under","PIRU","Picea rubens","Red spruce","Upper"
1515,65695,2466267,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,-9999,780,"D","13500_61_D",58,3,-55,"under","ABFR","Abies fraseri","Fraser fir","All"
1515,65695,2466267,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,-9999,780,"D","13500_61_D",58,3,-55,"under","ABBA","Abies balsamea","Balsam fir","All"
1516,1361,36068877,"13160_54_57_59_61","Southern Piedmont Mesic Forest","Hardwood",510,348,52,42,"A","13160_54_57_59_61_A",6,0,-6,"under","FAGR","Fagus grandifolia","American beech","Upper"
1516,1361,36068877,"13160_54_57_59_61","Southern Piedmont Mesic Forest","Hardwood",510,348,52,42,"A","13160_54_57_59_61_A",6,0,-6,"under","LITU","Liriodendron tulipifera","Tuliptree","Upper"
1516,1361,36068877,"13160_54_57_59_61","Southern Piedmont Mesic Forest","Hardwood",510,348,52,42,"A","13160_54_57_59_61_A",6,0,-6,"under","ACLE","Acer leucoderme","Chalk maple","Mid-Upper"
1516,1361,36068877,"13160_54_57_59_61","Southern Piedmont Mesic Forest","Hardwood",510,348,52,42,"A","13160_54_57_59_61_A",6,0,-6,"under","ACBA3","Acer barbatum","Southern sugar maple","Mid-Upper"
1517,1832,2225554,"13160_60","Southern Piedmont Mesic Forest","Hardwood",499,355,52,41,"Barren or Sparse","13160_60_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1518,38,2225554,"13160_60","Southern Piedmont Mesic Forest","Hardwood",499,355,52,41,"D","13160_60_D",22,0,-22,"under","QUAL","Quercus alba","White oak","Upper"
1518,38,2225554,"13160_60","Southern Piedmont Mesic Forest","Hardwood",499,355,52,41,"D","13160_60_D",22,0,-22,"under","QURU","Quercus rubra","Northern red oak","Upper"
1518,38,2225554,"13160_60","Southern Piedmont Mesic Forest","Hardwood",499,355,52,41,"D","13160_60_D",22,0,-22,"under","LITU","Liriodendron tulipifera","Tuliptree","Upper"
1519,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"A","13520_53_54_57_59_60_61_A",13,0,-13,"under","PIRI","Pinus rigida","Pitch pine","Mid-Upper"
1519,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"A","13520_53_54_57_59_60_61_A",13,0,-13,"under","PIPU5","Pinus pungens","Table Mountain pine","Mid-Upper"
1519,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"A","13520_53_54_57_59_60_61_A",13,0,-13,"under","QUCO2","Quercus coccinea","Scarlet oak","Mid-Upper"
1519,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"A","13520_53_54_57_59_60_61_A",13,0,-13,"under","QUPR2","Quercus prinus","Chestnut oak","Mid-Upper"
1520,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"B","13520_53_54_57_59_60_61_B",3,0,-3,"under","PIRI","Pinus rigida","Pitch pine","Mid-Upper"
1520,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"B","13520_53_54_57_59_60_61_B",3,0,-3,"under","PIPU5","Pinus pungens","Table Mountain pine","Mid-Upper"
1520,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"B","13520_53_54_57_59_60_61_B",3,0,-3,"under","QUCO2","Quercus coccinea","Scarlet oak","Mid-Upper"
1520,1,2973724,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,"B","13520_53_54_57_59_60_61_B",3,0,-3,"under","QUPR2","Quercus prinus","Chestnut oak","Mid-Upper"
1521,306711,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"Developed","13680_46_48_54_57_59_60_61_Developed",0,0,0,"equal","Developed","Developed","Developed","Developed"
1522,574711,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"B","13680_46_48_54_57_59_60_61_B",16,0,-16,"under","PIEC2","Pinus echinata","Shortleaf pine","Upper"
1522,574711,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"B","13680_46_48_54_57_59_60_61_B",16,0,-16,"under","QUAL","Quercus alba","White oak","Upper"
1522,574711,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"B","13680_46_48_54_57_59_60_61_B",16,0,-16,"under","LITU","Liriodendron tulipifera","Tuliptree","Upper"
1522,574711,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"B","13680_46_48_54_57_59_60_61_B",16,0,-16,"under","COFL2","Cornus florida","Flowering dogwood","Low-Mid"
1523,642095,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"UE","13680_46_48_54_57_59_60_61_UE",0,1,1,"over","UE","UE","UE","UE"
1524,161491,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"C","13680_46_48_54_57_59_60_61_C",24,0,-24,"under","PIEC2","Pinus echinata","Shortleaf pine","Upper"
1524,161491,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"C","13680_46_48_54_57_59_60_61_C",24,0,-24,"under","QUST","Quercus stellata","Post oak","Upper"
1524,161491,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"C","13680_46_48_54_57_59_60_61_C",24,0,-24,"under","VAAR","Vaccinium arboreum","Farkleberry","Low-Mid"
1524,161491,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"C","13680_46_48_54_57_59_60_61_C",24,0,-24,"under","SCSC","Schizachyrium scoparium","Little bluestem","Lower"
1525,510963,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"Agriculture","13680_46_48_54_57_59_60_61_Agriculture",0,0,0,"equal","Agriculture","Agriculture","Agriculture","Agriculture"
1526,56616,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"E","13680_46_48_54_57_59_60_61_E",12,0,-12,"under","CAAL27","Carya alba","Mockernut hickory","Upper"
1526,56616,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"E","13680_46_48_54_57_59_60_61_E",12,0,-12,"under","QURU","Quercus rubra","Northern red oak","Upper"
1526,56616,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"E","13680_46_48_54_57_59_60_61_E",12,0,-12,"under","LITU","Liriodendron tulipifera","Tuliptree","Upper"
1526,56616,120055903,"13680_46_48_54_57_59_60_61","Southern Piedmont Dry Oak(-Pine) Forest","Hardwood-Conifer",325,235,5,5,"E","13680_46_48_54_57_59_60_61_E",12,0,-12,"under","QUAL","Quercus alba","White oak","Upper"
1527,413,6700662,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,"A","14790_41_42_47_48_50_51_53_A",24,0,-24,"under","CEOC2","Cephalanthus occidentalis","Common buttonbush","Low-Mid"
1527,413,6700662,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,"A","14790_41_42_47_48_50_51_53_A",24,0,-24,"under","CORU","Cornus rugosa","Roundleaf dogwood","Low-Mid"
1527,413,6700662,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,"A","14790_41_42_47_48_50_51_53_A",24,0,-24,"under","ILVE","Ilex verticillata","Common winterberry","Low-Mid"
1527,413,6700662,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,"A","14790_41_42_47_48_50_51_53_A",24,0,-24,"under","COAM2","Cornus amomum","Silky dogwood","Low-Mid"
1528,13,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"B","14010_43_44_47_48_53_B",7,0,-7,"under","JUVI","Juniperus virginiana","Eastern redcedar","Middle"
1528,13,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"B","14010_43_44_47_48_53_B",7,0,-7,"under","JUAS","Juniperus ashei","Ashe's juniper","Middle"
1528,13,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"B","14010_43_44_47_48_53_B",7,0,-7,"under","ANGE","Andropogon gerardii","Big bluestem","Lower"
