Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
1963,4.000000000000000,47,2090,132,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,Barren or Sparse
1964,2493.000000000000000,47,2069,1,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,A
1965,11.000000000000000,47,2073,132,13250_46_47_48,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Hardwood,404,159,52,36,Barren or Sparse
1966,4.000000000000000,53,2003,6,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,UN
1967,12.000000000000000,53,2010,1,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood,187,109,8,7,A
1968,300547.000000000000000,57,1820,180,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,Agriculture
1969,1647.000000000000000,57,1820,4,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,D
1970,1869.000000000000000,57,1820,6,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,UN
1971,481.000000000000000,57,1820,132,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,Barren or Sparse
1972,85.000000000000000,57,31,132,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,Barren or Sparse
1973,197673.000000000000000,57,1821,5,13500_57,Central and Southern Appalachian Spruce-Fir Forest,Conifer,1000,1155,-9999,536,E
