Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
2156,119880.000000000000000,54,1838,5,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,E
2157,289729.000000000000000,54,1838,2,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,B
2158,2051.000000000000000,54,1829,4,13160_54_57_59_61,Southern Piedmont Mesic Forest,Hardwood,510,348,52,42,D
2159,3064.000000000000000,59,1808,5,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,E
2160,9.000000000000000,59,1808,4,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,D
2161,5228548.000000000000000,46,1781,180,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,Agriculture
2162,1665829.000000000000000,46,1775,180,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,Agriculture
2163,2588204.000000000000000,46,1782,180,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,Agriculture
2164,5707463.000000000000000,46,1782,7,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,UE
2165,297604.000000000000000,46,1767,180,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,Agriculture
2166,90447.000000000000000,46,1767,120,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,Developed
2167,157551.000000000000000,46,1767,7,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,UE
2168,2704405.000000000000000,46,1775,7,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,UE
2169,1169164.000000000000000,46,1766,180,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,Agriculture
2170,1084812.000000000000000,46,1781,120,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,Developed
2171,9616600.000000000000000,46,1781,7,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,UE
2172,2431281.000000000000000,46,1766,7,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,UE
2173,899461.000000000000000,46,1766,120,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,Developed
2174,2024380.000000000000000,46,1781,3,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,C
2175,592310.000000000000000,46,1782,120,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,Developed
2176,14220951.000000000000000,46,1772,7,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,UE
2177,1116767.000000000000000,46,1766,3,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,C
2178,769707.000000000000000,46,1772,3,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,C
2179,5466726.000000000000000,46,1772,180,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,Agriculture
2180,2437273.000000000000000,46,1772,120,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,Developed
2181,2488445.000000000000000,46,11,111,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water
2182,127326.000000000000000,46,1772,2,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,B
2183,3613491.000000000000000,46,1781,2,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,B
2184,193297.000000000000000,46,1782,1,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,A
2185,3867105.000000000000000,46,1782,3,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,C
2186,284882.000000000000000,46,1781,1,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,A
2187,446233.000000000000000,46,1781,5,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,E
2188,432327.000000000000000,46,1775,120,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,Developed
2189,301945.000000000000000,46,1782,6,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,UN
2190,393935.000000000000000,46,1775,4,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,D
2191,25531.000000000000000,46,1767,2,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,B
2192,13029.000000000000000,46,1767,3,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,C
2193,3782.000000000000000,46,1767,5,13280_46_99,East Gulf Coastal Plain Limestone Forest,Hardwood,199,98,8,7,E
2194,57340.000000000000000,46,1782,2,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,B
2195,34261.000000000000000,46,1772,1,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,A
2196,2527157.000000000000000,46,1764,180,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,Agriculture
2197,237408.000000000000000,46,1766,2,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,B
2198,228314.000000000000000,46,1766,5,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,E
2199,1187572.000000000000000,46,1769,180,13300_46_48_54_55_56_99,Southern Coastal Plain Dry Upland Hardwood Forest,Hardwood,197,98,8,7,Agriculture
2200,34916.000000000000000,46,1772,5,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,E
2201,196881.000000000000000,46,1766,4,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,D
2202,1231912.000000000000000,46,1764,120,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,Developed
